Titre construit,1er responsable,Responsables,Code-barres,Cote,Résumé (notice),Genre
"Je tremble, ô matador","Sepúlveda, Rodrigo",Rodrigo Sepúlveda ...,2197117,DVD JET,"Chili, 1986, en pleine dictature de Pinochet. Par amour pour un révolutionnaire idéaliste qu'il vient de rencontrer, un travesti sur le déclin accepte de cacher des documents secrets chez lui. Ils s'engagent tous deux dans une opération clandestine à haut risque.",Histoire vraie
"Je vais bien, ne t'en fais pas","Lioret, Philippe",Philippe Lioret ...,2142532,DVD JEV,"Rentrée de vacances, Lili, 19 ans, apprend que son jumeau a disparu. Pour elle, tout s'écroule. Un drame familial sobre et délicat, le portrait subtil et tout en émotion d'une jeune fille d'aujourd'hui.",Biopic
Je verrai toujours vos visages,"Herry, Jeanne (1978 - ...)",Jeanne Herry ...,2185770,DVD JEV,"Depuis 2014, en France, la Justice restaurative propose à des personnes victimes et auteurs d'infractions de dialoguer dans des dispositifs sécurisés, encadrés par des professionnels et des bénévoles. Ils s'appellent Judith, Fanny, Michel, Nassim, Issa, Thomas, Grégoire, Nawelle, Sabine, Chloé. Ils vont s'engager dans un processus où se mêleront colère et espoir, mots et silences, et à l'issue duquel naîtra, peut-être, la réparation.",Drame
Jean Vigo : l'intégrale DVD,"Vigo, Jean",Jean Vigo,2217104,DVD VIG,"42'; ""Jean Vigo, cinéaste de notre temps"", documentaire de Jacques Rozier, 1964, 95'; ""L'Atalante"", 1934, 85'. Des films, sans égal, mis en valeur par de nombreux bonus... Un régal ! Infos DVD : DVD 9 / 4/3 / Analyse de scènes, scènes supplémentaires, documentaires, photos de tournage, musique de Marc Perrone, actualités Gaumont, témoignages, correspondance...",Histoire vraie
Jeanne du Barry,"Le Besco, Maïwenn (1976 - ...)",Maïwenn Le Besco ...,2197641,DVD JEA,"Jeanne Vaubernier, fille du peuple avide de s'élever socialement, met à profit ses charmes pour sortir de sa condition. Son amant le comte Du Barry, qui s'enrichit largement grâce aux galanteries lucratives de Jeanne, souhaite la présenter au Roi. Il organise la rencontre via l'entremise de l'influent duc de Richelieu. Celle-ci dépasse ses attentes : entre Louis XV et Jeanne, c'est le coup de foudre. Avec la courtisane, le Roi retrouve le goût de vivre - à tel point qu'il ne peut plus se passer d'elle et décide d'en faire sa favorite officielle. Scandale : personne ne veut d'une fille des rues à la Cour.",Policier et espionnage
Jésus,"Okuyama, Hiroshi (1996 - ...)",Hiroshi Okuyama ...,2177891,DVD JES,"Yura quitte Tokyo avec ses parents pour aller vivre à la campagne auprès de sa grand-mère. Il est scolarisé dans une école chrétienne et doit s'adapter à un nouvel environnement. Un jour, au milieu d'une prière, Jésus apparaît. Dès lors, tous les souhaits de Yura se réalisent. En bonus : Premier court-métrage du réalisateur, images du tournage. ""Premier film surprenant d'un réalisateur de 23 ans, une fable sur un enfant confronté pour la première fois à des notions qui le dépassent comme la foi ou le deuil."" Cahiers du Cinéma - Stéphane du Mesnildot ""Hiroshi Okuyama signe un premier film très accompli sur le monde de l'enfance."" Le Figaro - La Rédaction ""Au moment où l'on se demande si le brillant du pitch de départ ne va pas s'essouffler, Okuyama nous mène au coeur de son sujet. Et le film va devenir un récit initiatique. Yura va mûrir, comprendre certaines choses, faire des choix. Tout cela a la grâce de n'être jamais dit, mais suggéré par la mise en scène, et c'est bien ce qui signe l'authenticité d'un cinéate. (...) La délicatesse y côtoie l'amertume, le tragique et un humour narquois, un peu kitsch."" Les Inrockuptibles - Jean-Baptiste Morain ""Ecrit à hauteur d'enfant, le beau premier film du très jeune Hiroshi Okuyama, 23 ans, rappelle les mangas de Taiyo Matsumoto par son extrême sensibilité, par cette tristesse profonde percée par quelques moments de félicité collective, et par cette manière de capter un comportement en quelques gestes."" Libération - Marius Chapuis",Comédie
Jesus Lopez,"Schonfeld, Maximiliano",Maximiliano Schonfeld ...,2185656,DVD JES,"Jesus Lopez, jeune pilote de course automobile, meurt brutalement dans un accident de moto, laissant les habitants de son village sous le choc. Son cousin Abel, un adolescent mal dans sa peau, est alors tenté de prendre sa place.",Drame
Jeune & jolie,"Ozon, François",François Ozon ...,2132111,DVD JEU,"Le portrait d'une jeune fille de 17 ans qui se livre volontairement et secrètement à la prostitution... Oscillant entre le léger et le grave, un éveil à la sexualité magistralement mis en scène et dirigé...",Biopic
Jeune femme,"Serraille, Léonor (1986 - ...)",Léonor Serraille ...,2158740,DVD JEU,"Un chat sous le bras, des portes closes, rien dans les poches, voici Paula, de retour à Paris après une longue absence. Au fil des rencontres, la jeune femme est bien décidée à prendre un nouveau départ. Avec panache.Caméra d'Or au Festival de Cannes, France, 2017, Prix du jury du film français indépendant au Champs-Elysées Film Festival, France, 2017. En bonus : Court métrage : Body, interview, bande-annonce.",Drame
Jeune Juliette,"Emond, Anne (1982 - ...)",Anne Emond ...,2177877,DVD JEU,"Juliette est effrontée, malicieuse, un peu grosse et menteuse. Elle n'est pas vraiment populaire au collège, mais c'est pas grave : c'est tous des cons ! Juliette a 14 ans et elle croit en ses rêves. Pourtant, les dernières semaines de cours se montreront très agitées et vont bousculer ses certitudes sur l'amour, l'amitié et la famille... En bonus : Entretien avec la réalisatrice, bande-annonce. ""En fuyant le pathos et la gravité, ""Jeune Juliette"" séduit par son écriture fine et ses dialogues brillants, son désir de rester dans le giron confortable d'un cinéma innocent, loin de la violence et la cruauté d'une certaine réalité contemporaine."" Culturopoing.com - Emmanuel Le Gagne ""Fable d'initiation, le film pourrait tomber dans les multiples écueils d'une oeuvre attendue sur la différence, mais la cinéaste se joue des difficultés avec humour et un regard aussi juste que rafraîchissant."" Sud Ouest - Sophie Avon",Comédie
Jeunesse en sursis,"Gornostai, Kateryna (1989 - ...)",Kateryna Gornostai ...,2197353,DVD JEU,"Masha effectue sa dernière année de lycée. Elle traîne le plus souvent avec deux amis aussi anti-conformistes qu'elle, et tombe amoureuse d'une manière qui la force à sortir de sa zone de confort. Une histoire universelle sur la jeunesse ukrainienne qui trouve une résonance particulière dans le contexte actuel.",Fantasy / Merveilleux
Jeunesse sauvage,"Carpentier, Frédéric",Frédéric Carpentier ...,2188726,DVD JEU,"Raphaël, chef d'un gang de voleurs de rue, voit son autorité contestée par Kevin, son fidèle lieutenant. Pour garder le pouvoir, il doit affronter la trahison et un univers de plus en plus violent, où les armes remplacent les poings. ""Sur un casting patiemment élaboré au fil des quartiers sensibles, à l'exception de l'acteur central et de l'actrice belge Léone François, ce film constamment à vif développe dans toute sa première partie une rare intensité d'action."" Le Parisien - La Rédaction ""Un scénario un peu trop balisé, mais la mise en scène, jamais caricaturale, à la juste distance de ses héros, restitue à cette fiction sa rage impuissante."" Le Nouvel Observateur - Xavier Leherpeur",Action
"Jiburo, sur le chemin de la maison","Jeong-Hyang, Lee (1964 - ...)","Lee Jeong-Hyang, Yang-hee Kim ...",2158093,DVDJ JIB,"Pour les vacances, Sang-woo est contraint d'aller chez sa grand-mère qui vit à la campagne. Mordu de jeux vidéo et de super-héros, ce jeune citadin va devoir apprendre à s'adapter à cette vie en pleine nature et à cohabiter avec cette vieille femme, aussi lente qu'une tortue.",Super-héros
Jimmy's Hall,"Loach, Ken",Ken Loach ...,2133702,DVD JIM,"Après un exil de 10 ans aux Etats-Unis, Jimmy Gralton rentre en Irlande pour aider sa mère à s'occuper de sa ferme. En décidant de rouvrir un foyer où l'on se retrouve pour danser, étudier, ou discuter, il s'attire les foudres de l'Eglise et des propriétaires terriens... A la fois doux et tragique, un beau film romantique qui pointe du doigt l'intégrisme...",Drame
"Jinpa, Un conte tibétain","Tseden, Pema (1969 - ...)",Pema Tseden ...,2188299,DVD JIN,"Sur une route traversant les vastes plaines dénudées du Tibet, un camionneur qui avait écrasé un mouton par accident prend un jeune homme en stop. Au cours de la conversation qui s'engage entre eux, le chauffeur apprend que son nouvel ami se prépare à tuer un homme qu'il recherche depuis dix ans, parce qu'il est le meurtrier de son père. A l'instant où il dépose l'auto-stoppeur à un embranchement, le camionneur ne se doute aucunement que les brefs moments qu'ils ont partagés vont tout changer pour l'un comme pour l'autre et que leurs destins sont désormais imbriqués à jamais, d'après les nouvelles ""J'ai écrasé un mouton"" de Pema Tseden et ""L'assassin"" de Tsering Norbu. En bonus : Interview du réalisateur par Phurwatsering Jakri (2019), clip de la chanson ""A Butcher on the Praying Wheel Path"" de Tibetan Patients, bandes-annonces. """"Jinpa"" cherche littéralement à envahir la conscience et la mémoire du spectateur. Il y parvient à notre insu, moins par les artifices éprouvés de la narration rêvée qu'à partir de sensations ténues, soufflées par la mise en scène."" Cahiers du Cinéma - Mathis Badin ""Non seulement ""Jinpa"" est beau à regarder, mais il exprime, en filigrane, la possibilité du karma et d'une réalité poétique qui nous échappe."" Le Nouvel Observateur - François Forestier """"Jinpa"" intrigue surtout par son étrangeté ostentatoire. Commençant comme un road-movie, il a des allures de western surréaliste, tandis que l'épaisseur de sa parabole ne l'empêche pas de faire preuve de touches humoristiques."" Libération - Marcos Uzal ""Mais ce conte signé Pema Tseden, déjà auteur de ""Tharlo, le berger tibétain"", ne se borne pas à être un simple récit inspiré par la loi du talion. C'est une fable mystérieuse habitée par le songe et le pouvoir de transmission, dont la mise en scène se soucie de troubler nos repères."" Sud Ouest - Sophie Avon",Western
Joel - Une enfance en Patagonie,"Sorin, Carlos",Carlos Sorin ...,2171984,DVD JOE,"Ne pouvant pas avoir d'enfant, Cecilia et Diego, qui viennent d'emménager dans une petite ville de la Terre de Feu, attendent depuis longtemps de pouvoir adopter. Alors qu'ils n'y croyaient plus, l'arrivée soudaine de Joel, un garçon de 9 ans au passé tourmenté, va bouleverser leur vie et l'équilibre de toute la petite communauté provinciale.",Policier et espionnage
John John,"Mendoza, Brillante",Brillante Mendoza ...,2096037,DVD JOH,"A Manille, Thelma s'apprête à remettre John John, un orphelin dont elle s'occupe depuis trois ans, à sa famille d'adoption. Proche du documentaire, un film politique bouleversant d'humanité.",Histoire vraie
Joker (1) : Joker,"Phillips, Todd",Todd Phillips ...,2177481,DVD JOK (1),"Le film se focalise sur la figure emblématique de l'ennemi juré de Batman. Il brosse le portrait d'Arthur Fleck, un homme sans concession méprisé par la société.",Super-héros
Jonathan Livingston le goéland,"Bartlett, Hall (1922 - 1993)",Hall Bartlett,2080272,DVDJ JON,"Jonathan, mouette mâle, s'initie à la perfection physique et spirituelle pour voler plus vite et plus haut. Conte philosophique et esthétique...",Drame
Journal de Tûoa,"Gomes, Miguel (1972 - ...)","Miguel Gomes, Maureen Fazendeiro ...",2185210,DVD JOU,"""Journal de Tûoa"" a été tourné sous régime de confinement, au Portugal, entre août et septembre 2020. C'est aussi un film de fiction. Impossible de le résumer sans en dire trop. Nous avons donc choisi de reproduire un paragraphe d'un conte de Cesare Pavese, ""Le Diable sur les collines"" : ""L'orchestre reprit mais cette fois sans voix. Les autres instruments se turent et il ne resta que le piano qui exécuta quelques minutes de variations acrobatiques sensationnelles. Même si on ne le voulait pas, on écoutait. Puis l'orchestre couvrit le piano et l'engloutit. Pendant ce numéro, les lampes et les réflecteurs, qui éclairaient les arbres, changèrent magiquement de couleur, et nous fûmes tour à tour verts, rouges, jaunes"".",Fantasy / Merveilleux
Journal d'une femme de chambre,"Jacquot, Benoît",Benoît Jacquot ...,2146833,DVD JOU,"Début du XXe siècle, en province. Très courtisée pour sa beauté, Célestine est une jeune femme de chambre nouvellement arrivée de Paris au service de la famille Lanlaire. Repoussant les avances de Monsieur, Célestine doit également faire face à la très stricte Madame Lanlaire qui régit la maison d'une main de fer. Elle y fait la rencontre de Joseph, l'énigmatique jardinier de la propriété, pour lequel elle éprouve une véritable fascination.",Historique
Journal intime,"Mészaros, Márta (1931 - ...)",Márta Mészaros ...,2197541,DVD JOU,"Ayant perdu père et mère en Russie, pendant les purges de Staline, la jeune Julie revient en Hongrie accompagnée de ses grands-parents. La famille est hébergée chez Magda, femme célibataire qui occupe une position de pouvoir au sein du régime en place. A l'écart du monde extérieur, Julie se sent de plus en plus opprimée par Magda et par l'atmosphère qui règne à la maison. Se réfugiant dans ses souvenirs d'enfance et dans le cinéma, elle finit par entrer en contact avec János, jeune ingénieur qui représentera sa seule issue pour sortir de ce monde où elle est enfermée. ""Journal intime"" est sans aucun doute le chef-d'oeuvre de Márta Mészáros, dans lequel elle dresse une analyse de la société post-stalinienne, mélangeant à la fois les critiques du système politique et les expériences intimes d'une jeune fille confrontée à un monde où règnent le pouvoir et la méfiance.",Drame
Jours de pêche en Patagonie,"Sorin, Carlos",Carlos Sorin ...,2128173,DVD JOU,"En quête d'un nouveau départ, Marco décide de partir en Patagonie s'initier à la pêche au requin. Cependant la pêche ne semble pas être la seule raison de sa présence dans la petite ville de Puerto Deseado ; Marco cherche sa fille. La désolation des paysages est un reflet subtil du désarroi de ce père, un film humaniste et universel.",Aventure
Joyland,"Sadiq, Saim",Saim Sadiq ...,2197373,DVD JOY,"A Lahore, Haider et son épouse cohabitent avec la famille de son frère au grand complet. Dans cette maison où chacun vit sous le regard des autres, Haider est prié de trouver un emploi et de devenir père. Le jour où il déniche un petit boulot dans un cabaret, il tombe sous le charme de Biba, danseuse sensuelle et magnétique. Alors que des sentiments naissent, Haider se retrouve écartelé entre les injonctions qui pèsent sur lui et l'irrésistible appel de la liberté.",Drame
JSA - Joint security area,"Park, Chan-wook (1963 - ...)",Chan-wook Park ...,2197119,DVD JSA,"En pleine nuit, dans un poste de garde nord-coréen situé dans la zone de sécurité séparant les deux Corée, éclate une fusillade. Deux soldats sont retrouvés morts mais les circonstances du drame restent mystérieuses. Le sergent Sophie E. Jean est chargée de mener l'enquête sur ces meurtres qui impliquent Coréens du Nord et du Sud, tout en évitant un incident diplomatique...",Policier et espionnage
Julie (en 12 chapitres),"Trier, Joachim (1974 - ...)",Joachim Trier ...,2185371,DVD JUL,"Julie, bientôt 30 ans, n'arrive pas à se fixer dans la vie. Alors qu'elle pense avoir trouvé une certaine stabilité auprès d'Aksel, 45 ans, auteur à succès, elle rencontre le jeune et séduisant Eivind.",Drame
Julieta,"Almodóvar, Pedro (1949 - ...)",Pedro Almodóvar ...,2143743,DVD JUL,"Julieta s'apprête à quitter Madrid définitivement lorsqu'une rencontre fortuite avec Bea, une amie de sa fille Ant’a, la pousse à changer ses projets. Bea lui apprend qu'elle a croisé Ant’a une semaine plus tôt. Julieta se met alors à nourrir l'espoir de retrouvailles avec sa fille qu'elle n'a pas vu depuis des années. Elle décide de lui écrire tout ce qu'elle a gardé secret depuis toujours.",Drame
Jumanji 1/2/3,"Kasdan, Jake (1974 - ...)","Jake Kasdan, Joe Johnston ...",2188555,DVDJ JUM,3 films : Jumanji / Jumanji - Bienvenue dans la jungle / Jumanji - Next level.d'après le roman de Chris Van Allsburg,Drame
Jumbo,"Wittock, Zoé",Zoé Wittock ...,2188396,DVD JUM,"Jeanne, une jeune femme timide, travaille comme gardienne de nuit dans un parc d'attraction. Elle vit une relation fusionnelle avec sa mère, l'extravertie Margarette. Alors qu'aucun homme n'arrive à trouver sa place au sein du duo que tout oppose, Jeanne développe d'étranges sentiments envers Jumbo, l'attraction phare du parc.",Drame
Jungle cruise,"Collet-Serra, Jaume (1974 - ...)",Jaume Collet-Serra ...,2180172,DVD JUN,"Chercheuse intrépide, la doctoresse Lily Houghton quitte Londres pour explorer la jungle amazonienne à la recherche d'un remède miraculeux. Pour descendre le fleuve, elle engage Frank Wolff, un capitaine roublard aussi douteux que son vieux rafiot délabré. L'improbable duo va dès lors affronter d'innombrables dangers - sans parler de forces surnaturelles - dissimulés sous la splendeur luxuriante de la forêt tropicale. Alors que les secrets de l'arbre perdu se révèlent peu à peu, les enjeux s'avèrent encore plus grands pour Lily et Frank. Ce n'est pas seulement leur destin qui est en jeu, mais celui de l'humanité tout entière...",Fantasy / Merveilleux
Jungle rouge,"Horváth, Zoltán (1964 - ...)","Zoltán Horváth, Juan José Lozano ...",2185693,DVD JUN ANI,"Résumé : Mars 2008. Dans la jungle colombienne, la plus vieille guérilla communiste au monde vit ses derniers instants. Raul Reyes, numéro deux des FARC, est tué dans un bombardement par l'armée colombienne et la CIA. Il laisse derrière lui un document inouï : dix ans de correspondance où se croisent tous les acteurs du conflit, témoignage d'une lutte acharnée pour la révolution.",Policier et espionnage
Jusqu'à la garde,"Legrand, Xavier",Xavier Legrand ...,2158490,DVD JUS,"Le couple Besson divorce. Pour protéger son fils d'un père qu'elle accuse de violences, Miriam en demande la garde exclusive. La juge en charge du dossier accorde une garde partagée au père qu'elle considère bafoué. Pris en otage entre ses parents, Julien va tout faire pour empêcher que le pire n'arrive.Lion d'Argent - Prix de la mise en scène et Lion d'Argent - Meilleur premier film à la Mostra de Venise, Italie, 2017, Chistera du meilleur film au Festival international de Saint-Jean-de-Luz, France, 2017, Prix du public - Longs métrages français au Festival Premiers plans d'Angers, France, 2018.En bonus : Entretien avec Xavier Legrand, court métrage ""Avant que de tout perdre"" de Xavier Legrand (2013).",Fantasy / Merveilleux
Just Charlie,"Fortune, Rebekha",Rebekha Fortune ...,2177788,DVD JUS,"Charlie vit à Tamworth, une petite ville anglaise où tout le monde se connaît. C'est un adolescent destiné à un bel avenir dans le football et son père voit en lui le professionnel qu'il n'a jamais pu être. Mais Charlie se retrouve tiraillé entre le désir de répondre aux attentes de son père et le fait qu'il se sent emprisonné dans le corps d'un garçon. En proie à une crise identitaire, la relation précieuse qu'il avait alors avec son père se dégrade et c'est tout son univers qui est sur le point de basculer, y compris sa future carrière de footballeur. Sa volonté de découvrir sa véritable identité, va bouleverser tout l'équilibre de sa famille et celui de ses amis.",Science-fiction
Just kids,"Blanc, Christophe","Christophe Blanc, réal.",2188385,DVD JUS,"Jack, 19 ans, Lisa, 17 ans, et Mathis, 10 ans, se retrouvent brutalement orphelins. Chacun réagit à sa façon à la catastrophe familiale. Lisa prend ses distances, Jack, tout juste majeur, se voit confier la garde de Mathis. Une nouvelle vie commence. Mais comment être responsable d'un enfant quand on est soi-même à peine sorti de l'adolescence ? Et comment se construire un avenir quand le passé devient une obsession dangereuse ? ""L'amour est-il la clé de la résilience ? Ce serait une réponse trop facile. Celle de Christophe Blanc est plus nuancée. Osée, même. Mais le réalisateur semble défendre corps et âme l'idée que l'énergie de la jeunesse peut tout faire quand on entre dans l'âge adulte. Même soulever des montagnes."" Le Figaro - Robin Cannone ""Avec beaucoup de justesse et de tendresse, ""Just Kids"" met en scène un préadolescent et un jeune homme propulsés brutalement dans le monde adulte."" Le Parisien - La rédaction","Romance, sentimental"
Just the Wind,"Fliegauf, Bence",Bence Fliegauf ...,2144748,DVD JUS,"Un village hongrois, aujourd'hui. Mari et ses enfants Anna et Rio, Roms d'origine, subissent sans broncher un quotidien précaire, dans l'espoir d'un jour meilleur, celui où ils vont rejoindre le père, émigré au Canada. Partir, prendre un nouveau départ, loin du racisme crasseux des villageois et...Vivre. Mais en attendant le grand jour, il faut rester vigilant, aux aguets, car mystérieusement au village et dans tout le pays, des familles entières de Roms sont assassinées...",Drame
Juste la fin du monde,"Dolan, Xavier",Xavier Dolan ...,2144741,DVD JUS,"Après douze ans d'absence, un écrivain retourne dans son village natal pour annoncer à sa famille sa mort prochaine. Ce sont les retrouvailles avec le cercle familial où l'on se dit l'amour que l'on se porte à travers les éternelles querelles, et où l'on dit malgré nous les rancoeurs qui parlent au nom du doute et de la solitude.","Romance, sentimental"
Juste sous vos yeux,"Hong, Sangsoo (1960 - ...)",Sangsoo Hong ...,2195516,DVD JUS,"Résumé : Sangok, une actrice disparue des écrans depuis des années, rencontre un célèbre réalisateur qui lui propose de jouer dans son prochain film. Malgré son désir de revenir sur le devant de la scène, le grave secret qu'elle renferme la rend hésitante...",Drame
Juste une nuit,"Asgari, Ali",Ali Asgari ...,2197526,DVD JUS,Fereshteh doit cacher son bébé illégitime pendant une nuit à ses parents qui lui rendent une visite surprise. Son amie Atefeh l'aide. Elles se lancent dans une odyssée au cours de laquelle elles doivent soigneusement choisir qui sont leurs alliés.,Drame
Kabullywood,"Meunier, Louis",Louis Meunier ...,2177650,DVD KAB,"A Kaboul en Afghanistan, quatre étudiants assoiffés de vie décident d'accomplir un projet audacieux : rénover un cinéma abandonné, qui a miraculeusement survécu à 30 ans de guerre. Comme un acte de résistance contre le fondamentalisme des talibans, ils vont aller au bout de leur rêve pour la liberté, la culture, le cinéma...Documentaire Kabul Cinema, Making of, Bande-annonce. ""[...] le film de Louis Meunier réussit ce petit miracle : faire entendre les battements de coeur de l'amour fou dans la camisole fondamentaliste qui garotte Kaboul."" Transfuge - Damien Aubel ""La belle idée du film, et son immense courage, est d'opposer au terrorisme un désir de fiction, de démontrer que, dans un pays menacé par l'obscurantisme, le simple fait de vouloir raconter une histoire, et de ressusciter son histoire est déjà un acte politique."" Les Inrockuptibles - Bruno Deruisseau ""Si la fiction est presque élémentaire (avec néanmoins une belle tragédie amoureuse), elle tire sa force de ses indéniables qualités documentaires. Cela reflète en partie les conditions pénibles du tournage - durant lequel l'équipe du film a subi l'attaque de talibans. Il s'en dégage une impression permanente de vérité et de danger."" L'Humanité - Vincent Ostria ""Louis Meunier ne cherche pas à embellir la réalité, mais il refuse de la simplifier au point de donner à son drame, du moins dans la première partie, les accents d'une comédie. Pour cela, il peut compter sur une caméra légère, sur une musique sensible et, surtout, sur la belle énergie de ses comédiens qui, plutôt que de s'affliger, préfèrent prendre leur destin en main jusqu'au bout."" Positif - Yannick Lemarié ""Le témoignage saisissant sur la vie quotidienne à Kaboul se double d'un éloge vibrant de la culture comme arme de résistance à l'oppression."" Télérama - Samuel Douhaire",Comédie romantique
Katie says goodbye,"Roberts, Wayne","Wayne Roberts, Dan Romer ...",2171130,DVD KAT,"Katie, jeune femme du sud ouest américain, rêve d'une nouvelle vie à San Francisco. Elle vit ses premiers amours et se révèle d'une honnêteté désarmante. Son empathie compulsive envers les autres fait d'elle une proie facile. Sa ténacité et sa jeunesse seront mis à l'épreuve par ceux qu'elle aime le plus au monde. Galerie de photos, bande-annonce.","Romance, sentimental"
Kes,"Loach, Ken",Ken Loach ...,2111946,DVD KES,Portrait tendre et déchirant d'un adolescent qui se heurte à la bêtise des adultes et qui fait l'apprentissage de la vie en dressant un faucon. Une oeuvre brillante sur l'enfance.,Biopic
Kina & Yuk : Renards de la banquise,"Maidatchevsky, Guillaume",Guillaume Maidatchevsky ...,2183639,DVDJ KIN,"Kina et Yuk, un couple de renards polaires prêt à fonder leur famille, vivent paisiblement sur la banquise du Grand Nord. La température est anormalement douce et la nourriture de plus en plus rare, obligeant Yuk à s'aventurer toujours plus loin pour subvenir à leurs besoins. Quand soudain, un craquement terrible causé par la fonte des glaces va venir perturber cette nature majestueuse et séparer nos renards, isolés chacun sur un bout de la banquise. Ils vont devoir braver tous les dangers et explorer de nouveaux territoires dans l'espoir de se retrouver à temps pour la naissance de leurs petits.",Drame
Kings,"Ergüven, Deniz Gamze (1978 - ...)",Deniz Gamze Ergüven ...,2158856,DVD KIN,"1992, dans un quartier populaire de Los Angeles. Millie s'occupe de sa famille et d'enfants qu'elle accueille en attendant leur adoption. Avec amour, elle s'efforce de leur apporter des valeurs et un minimum de confort dans un quotidien parfois difficile. A la télévision, le procès Rodney King bat son plein. Lorsque les émeutes éclatent, Millie va tout faire pour protéger les siens et le fragile équilibre de sa famille.",Fantasy / Merveilleux
Kiss and cry,"Mahieu, Chloé","Chloé Mahieu, Lila Pinell ...",2158126,DVD KIS,"Sarah, 15 ans, reprend le patin au club de haut niveau de Colmar, sans trop savoir si elle le fait pour elle ou pour sa mère. Elle retrouve la rivalité entre filles, la tyrannie de l'entraineur, la violence de la compétition. Tandis que son corps d'adolescente est mis à l'épreuve de la glace, ses premiers émois et la complicité entre copines la détournent de ses ambitions sportives. En bonus : ""Boucle piqué"" (2014) : le documentaire des réalisatrices à l'origine de Kiss & Cry.",Histoire vraie
Kokon,"Krippendorff, Leonie (1985 - ...)",Leonie Krippendorff ...,2197744,DVD KOK,"Un de ces étés caniculaires où l'on grandit si vite : premiers amours et premiers déboires, Nora cherche sa voie dans le Berlin populaire de Kreuzberg, entre une mère absente et une grande soeur protectrice. Mais du haut de ses 14 ans, Nora se moque des injonctions sociales, de genre et des modèles instagramables : elle veut vivre, briser son cocon et prendre son envol.",Policier et espionnage
Kuessipan,"Verreault, Myriam",Myriam Verreault ...,2195313,DVD KUE,"Nord du Québec. Mikuan et Shaniss, deux amies inséparables, grandissent dans une réserve de la communauté innue. Petites, elles se promettent de toujours rester ensemble. Mais à l'aube de leurs 17 ans, leurs aspirations semblent les éloigner : Shaniss fonde une famille, tandis que Mikuan tombe amoureuse d'un blanc et rêve de quitter cette réserve devenue trop petite pour elle...d'après le roman de Naomi Fontaine. En bonus : Court métrage ""Katatjatuuk Kangirsumi"" (chants de gorge) de Manon Chamberland et Eva Kaukai, Entretien avec la réalisation Myriam Verreault, Bande-annonce. ""Adaptation très réussie du roman de Naomi Fontaine, ""Kuessipan"" suit deux amies innues inséparables dont les aspirations divergent à l'adolescence. (...) Révélés par le regard bienveillant de la cinéaste Myriam Verreault, les personnages - interprétés par des acteurs innus non-professionnels - et leur complicité irradient cette fresque lumineuse et optimiste."" Culturopoing.com - Carine Trenteun ""Ce portrait de deux adolescentes Innus est tout simplement un trésor de beauté et d'intelligence."" aVoir-aLire.com - Laurent Cambon ""Poésie des images, délicatesse du style : Myriam Verreault, la réalisatrice, a un passé de documentariste et capte avec finesse les flux sous-jacents de sentiments, la mélancolie, la quête d'identité, les rites de passage. Son film est une ode à une culture menacée, mais aussi une belle leçon d'amitié."" Le Nouvel Observateur - François Forestier ""Brassant des thèmes aussi solides que la famille, l'identité culturelle et la liberté de choisir (ou pas) sa vie, optant pour un filmage naturaliste, Myriam Verreault donne à voir une oeuvre touchante, aux accents universels."" Positif - Ariane Allard",Aventure
Kursk,"Vinterberg, Thomas",Thomas Vinterberg ...,2171288,DVD KUR,"""KURSK"" relate le naufrage du sous-marin nucléaire russe K-141 Koursk, survenu en mer de Barents le 12 août 2000. ? bord du navire endommagé, vingt-trois marins se battent pour survivre. Pendant ce temps, leurs familles luttent contre les blocages diplomatiques qui ne cessent de compromettre l'espoir de les sauver.",Drame
La jeune fille à l'écho,"Zebriunas, Arunas (1931 - ...)",Arunas Zebriunas ...,2188836,DVDJ JEU,"C'est le dernier jour des vacances pour Vika. Vêtue de sa robe ample, les cheveux au vent, elle arpente le littoral déjà maintes fois foulé par ses pieds nus au cours de l'été. Libre de ses mouvements et de la présence des adultes, cette petite fille hardie, cor de chasse autour du cou, laisse son innocence et sa curiosité la guider, sans crainte. Vika s'amuse de tout ce qui lui est offert : les vagues deviennent pistes de danse, le sable immense ardoise et les coquillages une chorale marine. Entre plongeons et baignades, elle rend visite à ses amis, rochers anthropomorphes, dont elle seule détient les secrets du langage. De nature effrontée, elle ne se laisse pas impressionner par le groupe de garçons, autres résidents de cette plage hors du monde et du temps. Vika leur tient tête jusqu'à démonter leurs jeux de pouvoir. Romas, un nouvel arrivant intrigué par cette petite fille intrépide, obtient sa confiance et sa sympathie. Elle le conduit jusqu'au creux des regs pour lui confier son secret. À partir de 9 ans.",Horreur / Epouvante
La voix humaine,"Almodóvar, Pedro (1949 - ...)",Pedro Almodóvar ...,2188833,DVD VOI,"Une femme regarde le temps passer à côté des valises de son ex-amant (qui est censé venir les chercher, mais n'arrive jamais) et d'un chien agité qui ne comprend pas que son maître l'ait abandonné. Deux êtres vivants face à l'abandon.",Drame
La Ballade sauvage,"Malick, Terrence (1943 - ...)",Terrence Malick ...,2104555,DVD BAL,"Tiré de faits réels, l'équipée tragique de deux jeunes amants sur des terres de désolation. Un premier film qui s'inscrit dans la mouvance des années 70. A (re)découvrir...",Histoire vraie
